Default capacity and plans,free (in bytes),free (in kilobytes),free (in megabytes),free (in gigabytes),Locked (in bytes),Locked (in Kilobytes),Locked (in Megabytes),Locked (in Gigabytes),Plan 1 (title),Plan 1 (capacity),Plan 1 (cost),Plan 2 (title),Plan 2 (capacity),Plan 2 (cost),Plan 3 (title),Plan 3 (capacity),Plan 3 (cost),Plan 4 (title),Plan 4 (capacity),Plan 4 (cost)
Amazon Drive,"5,000,000,000 bytes","5,000,000 kilobytes","5,000 megabytes",5 Gigabytes,0 bytes,0 kilobytes,0 megabytes,0 gigabytes,Free,5 Gigabytes,$0.00/month,Grime photos,"Unlimited images, 5 GB other",$200/month,None,0 bits,$AMAZON,None,0 bytes,$GRIME
Degoo,"100,000,000 bytes","100,000 kilobytes","1,000 megabytes",100 Gigabytes,0 bytes,0 kilobytes,0 megabytes,0 gigabytes,Untitled,1000 Gigabytes,,,,,,,,,,
Dropbox,"2,000,000,000 bytes","2,000,000 kilobytes","2,000 megabytes",2 Gigabytes,0 bytes,0 kilobytes,0 megabytes,0 gigabytes,Plus,2 terabytes,$9.99/month,Professional,3 terabytes,$16.58/month,Standard,5 terabytes,$12.50 per user/year,Advanced,Unlimited,$20.00 per user/year
Google Drive,"15,000,000,000 bytes","15,000,000 kilobytes","15,000 megabytes",15 Gigabytes,0 bytes,0 kilobytes,0 megabytes,0 gigabytes,100 Gigabytes,100 Gigabytes,"$1.99/month, $19.99/year",200 gigabytes,200 gigabytes,"$2.99/month, $29.99/year",2 terabytes,2 terabytes,"$9.99/month, $99.99/year",None,None,None
OneDrive,"5,000,000,000 bytes","5,000,000 kilobytes","5,000 megabytes",5 Gigabytes,0 bytes,0 kilobytes,0 megabytes,0 gigabytes,OneDrive only,100 Gigabytes,$1.99/month,Office 365 personal,1 terabyte,"$6.99/month, $69.99/year",Office 365 home,6 terabytes,"$9.99/month, $99.99/year",None,None,None
pCloud,"10,000,000,000 bytes","10,000,000 kilobytes","10,000 megabytes",10 Gigabytes,"5,000,000,000 bytes","5,000,000 kilobytes","5,000 megabytes",5 gigabytes,Premium 500 gigabytes (annual),500 Gigabytes,$59.88/year,Premium 2 terabytes (annual),2 terabytes,$119.88/year,Premium 500 gigabytes (lifetime),500 Gigabytes,$480.00,Premium 2 terabytes (lifetime),2 terabytes,$980.00
ProtonDrive,"500,000,000 bytes","500,000 kilobytes",500 megabytes,0.5 Gigabytes,"500,000,000 bytes","500,000 kilobytes",500 megabytes,0.5 Gigabytes,,,,,,,,,,,,
MediaFire,"10,000,000,000 bytes","10,000,000 kilobytes","10,000 megabytes",10 Gigabytes,"490,000,000,000 bytes","490,000,000 kilobytes","490,000 megabytes",490 gigabyes,Pro,1 terabyte,$7.50/month (1 user),Business,100 terabytes,$80.00/month (up to 100 users),None,None,None,None,None,None
SNU,"100-1,000,000,000,000,000 bytes","0.1-1,000,000,000,000 kilobytes","0.0001-1,000,000,000 megabytes","0.000001-1,000,000 Gigabytes",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SNU Drive,"100-1,000,000,000,000,000 bytes","0.1-1,000,000,000,000 kilobytes","0.0001-1,000,000,000 megabytes","0.000001-1,000,000 Gigabytes",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
WacOS Cloud (iCloud),"15,000,000,000 bytes","15,000,000 kilobytes","15,000 megabytes",15 Gigabytes,0 bytes,0 kilobytes,0 megabytes,0,Plus,100 gigabytes,$19.99/month,Premium,500 gigabytes,$49.99/month,Pro,1 terabyte,$99.99/month,$IBLANK,0 bytes,$0.00/forever
Yandex Cloud,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Other (unlisted),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
File info,,,,,,,,,,,,,,,,,,,,
"Version 3 (2022, Wednesday, July 20th)",,,,,,,,,,,,,,,,,,,,
